Data File,Model,EB,CTX,PDT,Success,Error Message,csv_size,bin_size,compressed_size,sz3_size,zstd_size,is_accurate,compression_time_sz3,compression_time_zstd,compression_time_debug,decompression_time,zstd_error_size,df_entropy,df_min,df_max,df_mean,df_variance,error_entropy,error_min,error_max,error_mean,error_variance,mean_absolute_error,mean_squared_error,RRMSE,RMSE,RMAE
smart,0,0.0001,32,32,True,,267583,103676,47286,92776,72227,,0.07177209854125977,0.03318357467651367,155.15425038337708,0,67089,14.655999961376697,0.0008,9.580184,0.80901307,0.47826597,12.713298037240175,-7.9499,9.0251,0.1280451,0.5515507,0.68096817,0.82148933,0.9315326,0.86775297,0.7044438
smart,0,0.0001,64,1,True,,267583,103676,45708,92776,72227,,0.09732627868652344,0.035405635833740234,272.49944853782654,0,63054,14.654210606049343,0.0008,9.580184,0.8081083,0.47776583,12.186635594104978,-5.6021,7.0819,0.09095324,0.22959632,0.7171551,0.8599282,0.6035304,0.36424896,0.55926836
smart,0,0.0001,64,2,True,,267583,103676,46124,92776,72227,,0.08805489540100098,0.03445315361022949,211.0277543067932,0,64119,14.654210606049343,0.0008,9.580184,0.8081083,0.47776583,12.318796866833711,-10.6089,8.7641,0.10780806,0.2817991,0.7003003,0.8185698,0.6703113,0.44931722,0.5925815
smart,0,0.0001,64,4,True,,267583,103676,46486,92776,72227,,0.07026839256286621,0.038103580474853516,178.90965628623962,0,65029,14.654210606049343,0.0008,9.580184,0.8081083,0.47776583,12.442555837749936,-11.0351,8.7961,0.12090014,0.3503487,0.6872081,0.7956004,0.7475777,0.55887246,0.6268289
smart,0,0.0001,64,8,True,,267583,103676,47012,92776,72227,,0.09285116195678711,0.03270411491394043,166.53308820724487,0,66071,14.654210606049343,0.0008,9.580184,0.8081083,0.47776583,12.597267922353044,-9.1243,8.8259,0.12850444,0.43466732,0.6796039,0.81724596,0.83120024,0.6908938,0.6669997
smart,0,0.0001,64,16,True,,267583,103676,47087,92776,72227,,0.0750579833984375,0.042661428451538086,155.59299731254578,0,66119,14.654210606049343,0.0008,9.580184,0.8081083,0.47776583,12.615344222847966,-8.5909,9.0273,0.1369023,0.49239632,0.67120594,0.765235,0.88470757,0.7827075,0.67867976
smart,0,0.0001,64,32,True,,267583,103676,47147,92776,72227,,0.07045650482177734,0.034389495849609375,152.6439356803894,0,66462,14.654210606049343,0.0008,9.580184,0.8081083,0.47776583,12.636025487588357,-7.9899,9.0233,0.14499433,0.54725784,0.66311395,0.7553458,0.93285054,0.8702102,0.69326395
smart,0,0.0001,64,64,True,,267583,103676,47154,92776,72227,,0.0792384147644043,0.034157514572143555,149.96219635009766,0,66610,14.654210606049343,0.0008,9.580184,0.8081083,0.47776583,12.65050407288971,-7.7913,9.0233,0.17467128,0.5038049,0.633437,0.6239091,0.90454274,0.81819755,0.69454575
smart,0,0.0001,128,1,True,,267583,103676,45764,92776,72227,,0.07670307159423828,0.03272199630737305,267.8015093803406,0,62711,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,12.168604212198058,-8.6551,8.8237,0.09927195,0.23691109,0.7073331,0.83857024,0.6158596,0.37928307,0.5583262
smart,0,0.0001,128,2,True,,267583,103676,46180,92776,72227,,0.08286809921264648,0.04961585998535156,212.52357935905457,0,63770,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,12.290202488779345,-8.5145,8.8193,0.11524793,0.2808239,0.6913571,0.7956358,0.67234313,0.4520453,0.58913743
smart,0,0.0001,128,4,True,,267583,103676,46512,92776,72227,,0.07312631607055664,0.032889604568481445,181.3576958179474,0,64604,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,12.40403966324319,-8.9411,8.8287,0.12639552,0.3484537,0.6802095,0.77366704,0.74842083,0.56013376,0.6194489
smart,0,0.0001,128,8,True,,267583,103676,46931,92776,72227,,0.08209562301635742,0.04409193992614746,168.41863346099854,0,65503,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,12.537977421253734,-11.1321,8.8485,0.13532926,0.41440108,0.67127573,0.77167594,0.81553024,0.6650896,0.65348226
smart,0,0.0001,128,16,True,,267583,103676,47049,92776,72227,,0.08044028282165527,0.038173675537109375,159.5744161605835,0,65738,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,12.570512482160172,-7.5615,8.9833,0.15446104,0.44379276,0.65214396,0.6624757,0.84781283,0.7187866,0.667509
smart,0,0.0001,128,32,True,,267583,103676,47126,92776,72227,,0.08060741424560547,0.03144550323486328,156.10567045211792,0,65970,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,12.596322942909753,-7.8771,8.9833,0.1541737,0.51361245,0.65243137,0.7009217,0.90882576,0.8259642,0.6822516
smart,0,0.0001,128,64,True,,267583,103676,47153,92776,72227,,0.08233070373535156,0.03273820877075195,150.3374524116516,0,66163,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,12.607485647292549,-5.6737,8.9833,0.18552107,0.48920906,0.6210839,0.5815062,0.89711916,0.8048228,0.68865633
smart,0,0.0001,256,1,True,,267583,103676,45965,92776,72227,,0.08017969131469727,0.03595781326293945,294.50446581840515,0,62290,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,12.133652347308804,-6.9159,8.8261,0.106923684,0.22548008,0.69832283,0.8165693,0.6044569,0.36536816,0.55419606
